Nome	nif	concelho	contacto
Renee Kennedy MD	227639544	Albergaria-a-Velha	912673145
Rose Allen	248998788	Seixal	962821927
Ruth Roth	241544644	Valbom	963463648
Jared Lopez	265743341	Tavira	964135281
Dale Gutierrez	258898972	Leiria	993697991
Anthony Hill	277798363	Alcacer do Sal	991202905
Olivia Smith	299974941	Barreiro	942058684
Barry Williams	261215727	Gandra	944085096
Joshua Knight	254748575	Praia da Vitoria	910179763
Renee Clark	219357712	Oliveira de Azemeis	921078600
Isaac Evans	231427319	Vila Real	944768874
Tony Dawson	241580192	Abrantes	922517763
Charles Carter	297470465	Leiria	927357468
Christopher Carrillo	247970523	Odivelas	910682014
Tiffany Brown	288047716	Costa da Caparica	924289391
Jose Fisher	222866874	Tondela	977030275
Daniel Smith	293485058	Vila Nova de Famalicao	964819105
Kevin Robbins	273183504	Vila Real de Santo Antonio	937140276
Ms. Abigail Williams DDS	278998331	Viseu	907703437
Ryan May	214850070	Alcacer do Sal	923752600
Lindsay Smith	246644767	Sao Pedro do Sul	969693852
Melissa Diaz	299156636	Torres Novas	925399145
Daniel Galvan	244875192	Ribeira Grande	996798223
Jeffery Moran	267672841	Anadia	991893106
Heather Edwards	255225219	Vendas Novas	985765245
Angela Yoder	239775083	Lagos	910775165
Derrick Morris	263702979	Vila Real	909630505
Steven Sanchez	243856841	Gandra	992711505
Mary Ramsey	232123928	Miranda do Douro / Miranda de l Douro	949439120
Nicholas Moore	252620814	Castelo Branco	977009567
Nathan Hunter	293677561	Lixa	989381173
Ryan Burke	293944089	Alverca do Ribatejo	944295942
Dr. Andrea Rogers	295016536	Sabugal	923668567
Eric Walker	206175339	Barcelos	990000416
David Daniel	287985561	Pinhel	900851793
Lonnie Howard	203342467	Santa Cruz	999841774
Andrew Mckay	283784533	Torres Novas	942952969
Jennifer Hill	203738793	Reguengos de Monsaraz	929531394
Tyler Heath	296604031	Ribeira Grande	919231578
Mary Chang	267066836	Guimaraes	917692060
Paul Simmons	211867828	Seixal	985915976
Teresa Coleman	228620168	Trancoso	985485700
Krista Norton	233524500	Montemor-o-Novo	951828411
William Murphy	281182249	Sao Mamede de Infesta	967609837
David Kirby	234002907	Santa Cruz	922133311
Jessica Garcia	221088331	Sines	980745763
Steven Smith	226649558	Pombal	920405135
Patrick Acosta	267535661	Vila Real de Santo Antonio	958665806
Charles Myers	289069784	Entroncamento	942740880
Selena Weiss	231692098	Freamunde	959732669
Richard Howard	210136136	Vila do Conde	943798408
Gregory Cook	242276478	Samora Correia	905485928
Alexa Alvarez	261389703	Anadia	969602072
Tonya Steele	288118453	Espinho	923328404
Robin Pineda	279434992	Ribeira Grande	998901532
Jordan Mitchell	232734126	Alverca do Ribatejo	981379707
Donna Stafford	213292539	Sao Joao da Madeira	942500825
Steven Miller	291755897	Horta	983018366
Christina Walter	248079860	Peniche	919468349
Natalie Williams	253131855	Tarouca	936579072
Adam Juarez	241262218	Tavira	953307403
Cory Owens	226637361	Torres Novas	986465891
Kimberly Roberts	234208060	Barreiro	900776185
Elizabeth Taylor	250436543	Estarreja	906049173
Heather Edwards	217573886	Canico	955121430
Eddie Smith DVM	299633021	Odivelas	956807098
Yvonne Bailey	258545007	Setubal	972088055
Peter Neal	224011136	Oliveira de Azemeis	943987496
Christina Roberts	235036177	Mirandela	969123537
Patricia Stevens	298411758	Ponte de Sor	997547132
Nathaniel Cortez	291828537	Sines	959989300
Tyler Ford	219139103	Amora	985095434
Mr. Edgar Smith DVM	219195610	Penafiel	923218172
Jesse Hines	287698520	Lourosa	935432040
Kimberly Simpson	271298404	Valongo	905477853
Amy Scott	202994263	Mirandela	993590940
Donna Davis	284981752	Tavira	967103716
Veronica Leonard	250144259	Seixal	934586021
Whitney Smith	287939495	Alcacer do Sal	992366004
Sharon Moore	255839430	Ponte de Sor	926769639
Joshua Austin PhD	273602158	Portalegre	997995700
Karen Fry	285547627	Gandra	993162801
William Elliott	274819619	Meda	949181360
Lindsay Nelson	246610537	Maia	951687090
Kaitlyn Hernandez	241837426	Gafanha da Nazare	950853859
Jacob Ramirez	227408918	Almada	911627235
Steven Baxter	242127661	Marco de Canaveses	949592820
Tyler Smith	206279206	Alfena	954829247
Cynthia Green	244172519	Seia	986735102
Molly Ryan	245130878	Silves	990073273
Travis Bass	273174693	Setubal	916509990
Joanna Frank	245798672	Macedo de Cavaleiros	911922878
Chad Wagner	200558587	Macedo de Cavaleiros	941167781
Max Robertson	209955976	Ermesinde	931292100
Lisa Wilson	242601410	Queluz	949310566
Kerry Kirby	211471430	Coimbra	956885036
Russell Santiago	233098192	Cartaxo	957091708
Cheryl Mcdaniel	296029903	Marco de Canaveses	921670559
Catherine Smith	204617387	Penafiel	912803985
Stephen Wilson	223626713	Almeirim	936829647
Mercedes Abbott	201372948	Vale de Cambra	923747903
Diana Miller	224830711	Meda	919862863
Austin Johnson	217191633	Castelo Branco	970994538
Tracy Diaz	287202864	Trancoso	997036583
Sierra Jordan	252530866	Agualva-Cacem	940574350
Paula Harrison	290911827	Camara de Lobos	963606033
Tracy Hoffman	216454654	Torres Vedras	973287108
Joseph Charles	205575791	Machico	985665200
Michael Powers	297028651	Sao Salvador de Lordelo	907839621
Michael Herrera	282389684	Sacavem	924663528
Tim Woods	265138356	ilhavo	956859855
Kathleen Alvarez	288355547	Alfena	929316192
Amanda Strong	276197035	Guarda	924300356
Kimberly Oconnor	222660150	Alverca do Ribatejo	925466925
Alexander Greene	275452531	Rio Tinto	921879347
Timothy Ware	241420978	Portalegre	944805538
William Rhodes	228322467	Montemor-o-Novo	926855564
Marvin Schneider	262096648	Esposende	910712589
Mrs. Loretta Osborn	266326434	Maia	952426249
Melissa Cohen	298895065	Fafe	952020438
Sarah Montgomery	236938889	Amadora	952386390
Stacy Snyder	218370411	Cantanhede	922958339
David Scott	298265885	Santana	981465436
Catherine Howard	201993380	Camara de Lobos	937408149
Gloria Jarvis	267144629	Lixa	919065250
Jeffrey Dixon Jr.	254268745	Almada	973436778
Adam Robinson	225435008	Gouveia	943332386
Victor Irwin	200539896	Sabugal	986508639
Mary Jackson	207554604	Almeirim	907815291
Elaine Oliver	234131799	Vila Nova de Gaia	930397668
Michelle Burns DDS	259318602	Costa da Caparica	990328582
Timothy Rivera	297622333	Lagoa	933447455
Noah Benson	217126048	Alcacer do Sal	951150382
Patricia Kennedy	278776448	Sabugal	911633227
Luis Lozano	291245516	Amora	964839937
Russell Nguyen	270633402	Aveiro	983239068
Matthew Arnold	233460869	Rio Tinto	978736864
Michael Davis	201238755	Oliveira do Hospital	943886341
Christopher Hernandez	260631729	Alcacer do Sal	934463609
Brandy Reed	215502863	Lixa	943405394
Michael Griffin	258583376	Amora	921982863
Carrie Fitzgerald	218286488	Torres Novas	900323994
Kendra Anderson	253573318	Ponte de Sor	977931469
James Davis	227440932	Portalegre	975785175
Brianna Brown	269226823	Costa da Caparica	970547461
Patricia Perkins	296471921	Cartaxo	949038485
Jake Bates	231329865	Queluz	911895234
Amy Young	299013744	Maia	919277301
Christopher Patterson	281034820	Montemor-o-Novo	968049328
Katherine Crosby	293493490	Coimbra	924163792
John Smith	245280526	Rebordosa	943430048
Christopher Williams	239292066	Maia	912032675
Michelle Greene	228518551	Ovar	991318336
Kelly Thomas	213783248	Beja	900472357
Jeffrey Aguilar	229702555	Odivelas	904059348
Brian Hamilton	272700348	Santo Tirso	902077057
Meghan Martin	207678022	Esposende	932766979
Jose Sanchez	270945227	ilhavo	938645102
William Brown	270763818	Alcacer do Sal	963716726
Kelly Torres	264824069	Barreiro	976207001
Duane Miller	214630563	Miranda do Douro / Miranda de l Douro	966519862
Donald Johnson	280134916	evora	909641105
Michael Campbell	267259133	Matosinhos	950276947
Tracy Castro	261029172	Valbom	902101182
Rachel Butler	213031158	Maia	944703135
Joseph Wiley	242418194	Trofa	976720265
Kelsey Campbell	230234950	Vila Real	928784788
Jennifer Dunn	259316593	Valpacos	977709342
Eric Smith	241374192	Portalegre	971234773
Jeffrey Reid	267133215	Pombal	929825580
Ann Jackson	229907391	Valenca	933383473
Jessica Stewart	287299094	Lagoa	936479385
Jeanette Davis	273604636	Santa Maria da Feira	995399608
Shelly Dixon	221916761	Lagoa	973941533
Taylor Payne	224762817	Sabugal	946761692
Emily Carlson	288757081	ilhavo	917662498
Christian Mcdonald	264936886	Pombal	939136671
Jane Mathis	222824663	Freamunde	994854949
Stephanie Adams	218956749	Loule	991651094
Mark Brooks	248175752	Quarteira	965323916
Andrew Peterson	215734817	Povoa de Santa Iria	909601629
Doris Howell	263219302	Guimaraes	969859588
Karen Frye	203540039	Almada	974257462
Michelle Wilson	209599117	Funchal	988646405
Mr. Carl Clark	243354792	Montijo	900039537
Tyler Parker	233270166	Albergaria-a-Velha	935732882
Amber Moore	211063216	Quarteira	970951938
Kim Perry	240864497	Chaves	934722958
Melissa Jenkins	258125128	Albergaria-a-Velha	912425260
Megan Collins	211356902	Loule	931772320
Karen Fernandez	202073494	Mangualde	904553165
Jeremiah Reynolds	225535087	Lagoa	982125036
Carrie Haas	270159167	Vila Nova de Santo Andre	905802602
Deborah Harrell	262590412	Macedo de Cavaleiros	974969187
Kevin Harrison	237247387	Tarouca	915060768
Sharon Summers	296245611	Vendas Novas	933670979
Brenda Hester	221456121	Cantanhede	958793413
Shane Carrillo	262130629	Esmoriz	978798354
Monica Allen	270835233	Coimbra	920518310
Thomas Long	270350740	Santo Tirso	969253722
Fernando Martinez	292846636	Sines	958447222
Michael Arellano	257364365	Borba	931999397
Kendra Graham	281616665	Lixa	908947544
Patrick Thomas	292352349	Pombal	993136232
Maria Goodwin	230871956	Santarem	998092034
Kelsey Brown	214884899	Miranda do Douro / Miranda de l Douro	985401481
Patrick Grant	235053285	Angra do Heroismo	962340987
Jacob Miller	263876078	Montemor-o-Novo	925544517
Toni Alexander	223386145	Estarreja	917734984
